fdc_id,description,protein_g,fat_g,carbs_g,calories_kcal,fiber_g,sodium_mg,saturated_fat_g
171653,"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Honey Crunch Wheat Germ",26.55,7.78,58.11,372.0,10.2,11.0,1.36
174635,"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Toasted Wheat Bran",17.56,5.16,59.51,200.0,41.3,6.0,0.77
172988,"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Wheat Germ, Regular",31.43,9.56,49.38,366.0,11.9,6.0,1.66
174639,"Cereals ready-to-eat, UNCLE SAM CEREAL",15.98,11.6,65.78,346.0,20.3,206.0,0.946
169040,"Cereals ready-to-eat, WEETABIX whole grain cereal",11.43,2.86,81.5,371.0,11.4,371.0,0.48
172973,"Cereals ready-to-eat, chocolate-flavored frosted puffed corn",3.34,3.5,87.2,405.0,3.8,534.0,0.961
169039,"Cereals ready-to-eat, frosted oat cereal with marshmallows",7.1,3.33,84.7,400.0,4.3,533.0,0.62
171646,"Cereals ready-to-eat, granola, homemade",13.67,24.31,53.88,489.0,8.9,26.0,3.957
173912,"Cereals ready-to-eat, rice, puffed, fortified",6.3,0.5,89.8,402.0,1.7,3.0,0.13
169077,"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",7.1,5.6,76.2,385.0,9.7,245.0,0.8
173896,"Cereals ready-to-eat, wheat germ, toasted, plain",29.1,10.7,49.6,382.0,15.1,4.0,1.83
173913,"Cereals ready-to-eat, wheat, puffed, fortified",14.7,1.2,79.6,364.0,4.4,4.0,0.2
173914,"Cereals, CREAM OF RICE, cooked with water, with salt",0.9,0.1,11.5,52.0,0.1,173.0,0.02
173900,"Cereals, CREAM OF RICE, dry",6.3,0.5,82.4,370.0,0.7,6.0,0.136
173012,"Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, microwaved, without salt",1.95,0.37,10.67,55.0,1.5,4.0,0.094
173011,"Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, stove-top, without salt",1.65,0.42,11.16,56.0,0.4,4.0,0.106
173010,"Cereals, CREAM OF WHEAT, 1 minute cook time, dry",11.77,1.47,72.63,359.0,4.4,7.0,0.295
173009,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, microwaved, without salt",1.88,0.37,10.1,52.0,0.7,45.0,0.099
173008,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, stove-top, without salt",1.44,0.2,11.74,56.0,0.7,34.0,0.051
174655,"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",11.61,1.41,71.79,355.0,4.4,328.0,0.253
171660,"Cereals, CREAM OF WHEAT, instant, dry",10.6,1.4,75.5,366.0,3.3,571.0,0.222
173902,"Cereals, CREAM OF WHEAT, instant, prepared with water, without salt",1.84,0.24,13.08,62.0,0.6,102.0,0.038
173915,"Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, with salt",1.46,0.21,10.66,50.0,0.5,129.0,0.033
